index,Bool_char,Bool_char_EV,Bool_cons,Bool_dis,Bool_dis_EV,Bool_hp,Bool_hpdhw,Bool_inj,E_PV_batt,E_PV_batt_EV,E_PV_bu,E_PV_budhw,E_PV_curt,E_PV_grid,E_PV_hp,E_PV_hpdhw,E_PV_load,E_batt_EV_grid,E_batt_EV_load,E_batt_bu,E_batt_budhw,E_batt_hp,E_batt_hpdhw,E_batt_load,E_bu,E_budhw,E_char,E_char_EV,E_char_away,E_cons,E_dis,E_dis_EV,E_grid_batt,E_grid_batt_EV,E_grid_bu,E_grid_budhw,E_grid_hp,E_grid_hpdhw,E_grid_load,E_hp,E_hpdhw,E_loss_Batt,E_loss_Batt_EV,E_loss_EV,E_loss_conv,E_loss_inv,E_loss_inv_PV,E_loss_inv_batt,E_loss_inv_grid,Q_dhwst_hd,Q_hp_sh,Q_hp_ts,Q_loss_dhwst,Q_loss_ts,Q_ts,Q_ts_delta,Q_ts_sh,SOC,SOC_EV,T_dhwst,T_ts,E_demand,E_PV,Export_price,price,Inv_P,Conv_P
2017-01-02 00:00:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.01,0.0,0.05185,0.29,0.0,0.0
2017-01-02 00:15:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.03,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.03,0.0,0.05185,0.29,0.0,0.0
2017-01-02 00:30:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.02,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.02,0.0,0.05185,0.29,0.0,0.0
2017-01-02 00:45:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.02,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.02,0.0,0.05185,0.29,0.0,0.0
2017-01-02 01:00:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.03,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.03,0.0,0.05004,0.29,0.0,0.0
2017-01-02 01:15:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.01,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.01,0.0,0.05004,0.29,0.0,0.0
2017-01-02 01:30:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.03,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.03,0.0,0.05004,0.29,0.0,0.0
2017-01-02 01:45:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.02,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.02,0.0,0.05004,0.29,0.0,0.0
2017-01-02 02:00:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.01,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.01,0.0,0.04834,0.29,0.0,0.0
2017-01-02 02:15:00+01:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0066521385756158,0.0,0.04,0.0066521385756158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120403708218645,0.0,0.0120403708219537,0.0,0.0,0.0,0.0,0.2,313.15,315.446983003618,0.04,0.0,0.04834,0.29,0.0,0.0
